Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|legitimate
7c219ef0-9901-11e6-b703-80e65024849a.file|ad7ac905d9bda8781e083e41ba9cd912|332|224|258|12|0|63488|407040|0|19776|4096|69632|4194304|4096|512|5|1|0|0|5|1|483328|1024|0|2|33088|1048576|4096|1048576|4096|0|16|5|6.30726933147|4.68940523911|7.98548450904|92467.2|2048|364544|93860.6|1784|372640|2|71|0|0|3|4.39326671496|1.91924070464|6.36432604523|513.333333333|20|1128|72|0|0
3df46b97-4ffa-11e7-abba-80e65024849a.file|df4d37fe20d87f159006a99fc1f52b87|332|224|258|12|0|495616|28672|770048|1265792|774144|1269760|4194304|4096|512|5|1|0|0|5|1|1298432|4096|600639|2|33088|1048576|4096|1048576|4096|0|16|3|4.01254695881|0.0|7.9268384141|172885.333333|0|492544|431445.333333|28672|770048|21|26|3|0|12|4.18756188617|2.44524812209|7.90891245589|6013.58333333|42|48166|72|13|0
b26e4440-b60f-11e6-b54d-80e65024849a.file|9236e231b72acbc066508bd2f2b6049a|332|224|271|6|0|61440|626688|0|5536|4096|65536|4194304|4096|4096|4|0|0|0|4|0|692224|4096|728066|2|0|1048576|4096|1048576|4096|0|16|4|3.96379610024|0.490520665753|7.25725683744|171008.0|28672|561152|169772.5|27976|557746|4|56|0|0|14|3.30132650792|1.63640380881|5.30858401782|1934.92857143|20|9640|0|11|0
ee02b5b3-ca1a-11e6-8ec5-80e65024849a.file|8a916ce8bac56ad0cc040507f70dccf2|332|224|259|14|0|44032|245248|0|4186|4096|49152|4194304|4096|512|6|0|0|0|6|0|487424|1024|474932|2|320|1048576|4096|1048576|4096|0|16|8|5.306631752|3.39605956343|6.90490965139|53376.0|3584|181248|58482.0|3740|180948|2|109|0|0|35|4.13111726006|1.29173550268|7.98889536552|5099.91428571|16|48250|0|18|0
0ba178ca-aef1-11e6-ac09-80e65024849a.file|c16878d204074a0b91a4f48ec267d606|332|224|271|6|0|61440|36864|0|38156|4096|65536|4194304|4096|4096|4|0|0|0|4|0|102400|4096|0|2|0|1048576|4096|1048576|4096|0|16|4|4.0454545193|1.45744311058|6.40429552286|20480.0|4096|61440|22949.0|2656|57766|3|67|0|0|3|3.1306192805|1.81924070464|4.62814342763|802.666666667|20|2216|0|0|0
e38d95e1-fd96-11e6-87d0-80e65024849a.file|8a916ce8bac56ad0cc040507f70dccf2|332|224|259|14|0|44032|245248|0|4186|4096|49152|4194304|4096|512|6|0|0|0|6|0|487424|1024|474932|2|320|1048576|4096|1048576|4096|0|16|8|5.306631752|3.39605956343|6.90490965139|53376.0|3584|181248|58482.0|3740|180948|2|109|0|0|35|4.13111726006|1.29173550268|7.98889536552|5099.91428571|16|48250|0|18|0
e6935651-e60e-11e6-a846-80e65024849a.file|218613f0f1d2780f08e754be9e6f8c64|332|224|259|10|0|7168|199168|0|9847|4096|12288|4194304|4096|512|5|1|0|0|5|1|217088|1024|0|2|33024|1048576|4096|1048576|4096|0|16|4|6.15053364113|4.3582486704|7.99736638132|51584.0|1024|195584|51495.5|1668|195128|4|52|0|0|3|7.99248317387|7.98486409378|7.99688441963|64956.6666667|12598|103936|72|0|0
b43ac03d-b60f-11e6-80ef-80e65024849a.file|813e49d2f54fa11966d185575048bdf7|332|224|271|7|10|99328|149504|0|76816|4096|106496|4194304|4096|512|4|0|0|0|4|0|286720|1024|3007874|2|0|1048576|4096|1048576|4096|0|16|4|4.67717957373|3.08773169615|6.54196343516|62208.0|3072|125440|68075.75|20778|125236|6|141|1|0|119|3.1890815216|1.87772947488|7.89637563229|1022.2605042|132|9640|72|15|0
b87cc6eb-d71b-11e6-a407-80e65024849a.file|d8012989362c634ae2f5d6453bac46f2|332|224|8462|2|50|62976|22528|0|57649|4096|69632|268435456|4096|512|4|0|0|0|4|0|98304|1024|127356|2|0|1048576|4096|1048576|4096|0|16|4|5.31846009744|3.04800455669|6.61844777486|20992.0|512|62976|21149.75|256|62699|9|97|0|0|0|0|0|0|0|0|0|0|0|0
b241edf8-3f1b-11e7-96f4-80e65024849a.file|086ca0d2e06f7cf7c15f0f74bc6db518|332|224|271|7|10|339968|999424|0|218191|4096|344064|4194304|4096|4096|4|0|0|0|4|0|1343488|4096|1386083|2|0|1048576|4096|1048576|4096|0|16|4|5.70203186353|3.73172609735|7.60217774193|329728.0|12288|880640|332765.5|28852|877720|15|439|2|0|84|3.84010383305|0.960953135828|7.99708871773|10393.7857143|20|387380|72|17|0
